Date,Open,High,Low,Close,Adj Close,Volume
11-10-2024,215.96,222.1,215.62,221.29,221.29,61048558
14-10-2024,220.41,221.17,218.56,219.05,219.05,53715635
15-10-2024,218.44,220.2,212.33,214.62,214.62,40625465
16-10-2024,214.85,217.7,208.79,211.73,211.73,53652063
17-10-2024,212.38,213.14,210.07,210.9,210.9,64090092
18-10-2024,208.47,211.87,207.18,209.84,209.84,74739612
21-10-2024,210.45,212.17,207.14,208.9,208.9,58735001
22-10-2024,207.9,210.24,206.99,208.47,208.47,45923791
23-10-2024,207.8,208.35,199.92,202.65,202.65,42021423
24-10-2024,203.54,212.11,201.92,209.59,209.59,55928419
25-10-2024,211.18,212.67,205.51,206.08,206.08,61466920
28-10-2024,204.66,206.71,200.75,202.57,202.57,38217189
29-10-2024,201.92,205.7,200.91,204.96,204.96,49154495
30-10-2024,204.11,206.64,201.09,205.26,205.26,52132623
31-10-2024,204.67,205.36,199.55,201.63,201.63,64064694
01-11-2024,202.39,204.21,201.14,202.14,202.14,47048514
04-11-2024,201.36,206.2,200.48,204.54,204.54,33341414
05-11-2024,203.62,206.75,201.76,205.71,205.71,54207042
06-11-2024,205.04,206.21,200.25,200.83,200.83,55568784
07-11-2024,200.25,205.91,198.14,204.97,204.97,61357650
08-11-2024,202.44,212.23,199.6,210.98,210.98,45437256
11-11-2024,210.35,215.66,209.6,212.66,212.66,56039077
12-11-2024,213.9,214.53,209.53,212.1,212.1,58053050
13-11-2024,211.64,212.34,207.53,210.14,210.14,58477298
14-11-2024,211.05,220.39,208.43,218.96,218.96,51087717
15-11-2024,217.86,219.49,209.05,210.15,210.15,55221020
18-11-2024,210.49,218.68,208.68,217.3,217.3,52370793
19-11-2024,218.14,219.01,215.05,218.43,218.43,37256965
20-11-2024,218.8,225.7,216.95,223.54,223.54,50016545
21-11-2024,223.82,225.16,222.62,224.46,224.46,64964029
22-11-2024,224.54,227.16,217.8,220.73,220.73,49268110
25-11-2024,220.17,226,217.34,225.42,225.42,51761500
26-11-2024,224.92,225.87,218.67,221.12,221.12,59527605
27-11-2024,222.62,227.49,220.71,225.08,225.08,45714529
28-11-2024,223.08,224.74,216.46,219.59,219.59,72952531
29-11-2024,218.35,222.71,216.27,220.93,220.93,56312737
02-12-2024,221.46,226.69,220.77,224.25,224.25,57686608
03-12-2024,225.75,234.41,223.2,232.8,232.8,43124742
04-12-2024,232.86,235.02,230.8,232.33,232.33,68130298
05-12-2024,231.83,234.67,231.46,231.71,231.71,42854747
06-12-2024,232.66,234.03,222.84,224.16,224.16,55879815
09-12-2024,226.03,226.97,221.13,222.76,222.76,52051083
10-12-2024,219.76,224.72,218.43,221.66,221.66,54348461
11-12-2024,222.91,230.24,220.62,229.97,229.97,51773335
12-12-2024,232.93,233.38,222.41,224.99,224.99,55710621
13-12-2024,224.83,226.87,224.01,226,226,54606960
16-12-2024,225.19,227.86,222.01,223.65,223.65,56277162
17-12-2024,224.88,226.36,210.04,211.91,211.91,50887748
18-12-2024,210.42,212.55,209,210.44,210.44,45666199
19-12-2024,211.78,214.78,210.91,214.48,214.48,63660064
20-12-2024,213.92,216.09,208.84,209.75,209.75,60872494
23-12-2024,209.35,211.68,206.13,208.84,208.84,50668406
24-12-2024,207.72,214.88,204.9,213.79,213.79,62391227
25-12-2024,212.45,216.78,209.59,215.29,215.29,48727323
26-12-2024,214.53,221.95,213.51,219.92,219.92,38098464
27-12-2024,221.85,223.78,212.87,214.4,214.4,57532209
30-12-2024,213.81,216.9,212.14,214.09,214.09,59789633
31-12-2024,214.25,216.18,213.97,214.68,214.68,58693621
01-01-2025,213.24,213.87,204.82,207.45,207.45,63919169
02-01-2025,207.81,208.52,206.63,207.63,207.63,57350143
03-01-2025,208.05,210.16,201.1,203.67,203.67,34568996
06-01-2025,204.67,206.74,202.56,204.81,204.81,32909509
07-01-2025,204.17,204.85,197.41,199.68,199.68,55313092
08-01-2025,198.92,201.41,197.64,200.52,200.52,43921201
09-01-2025,199.54,201.32,193.7,195.2,195.2,67643701
10-01-2025,195.38,199.44,194.6,197.22,197.22,48092346
13-01-2025,199.75,200.88,195.47,197.8,197.8,53847281
14-01-2025,199.56,201.68,196.36,197.76,197.76,63493023
15-01-2025,198.39,199.34,193.83,195.64,195.64,66670653
16-01-2025,195.4,198.1,192.33,192.89,192.89,54106798
17-01-2025,193.06,197.97,190.89,195.38,195.38,38975867
20-01-2025,196.44,199.78,193.91,197.67,197.67,54158011
21-01-2025,198.09,198.79,189.49,191.2,191.2,57492252
22-01-2025,192.21,194.89,184.43,187.16,187.16,54525338
23-01-2025,187.19,190.84,184.83,189.81,189.81,55357073
24-01-2025,189.37,191.07,188.86,190.27,190.27,57665605
27-01-2025,191.46,191.83,187.52,188.54,188.54,44264712
28-01-2025,188.72,195.15,186.88,194.09,194.09,58204603
29-01-2025,194.17,200.44,191.8,197.64,197.64,67785764
30-01-2025,199.03,200.57,193.78,195.69,195.69,49653969
31-01-2025,197.24,202.36,196.74,201.48,201.48,48725679
03-02-2025,200.55,201.59,195.33,196.16,196.16,54583781
04-02-2025,197.68,198.49,194.36,197.18,197.18,43019751
05-02-2025,196.97,204.02,195.48,201.16,201.16,41527335
06-02-2025,201.33,204.73,199.68,202.8,202.8,60909415
07-02-2025,202.26,203.09,199.59,200.31,200.31,47351354
10-02-2025,201.74,207.38,201.1,205.18,205.18,48151044
11-02-2025,205.83,206.68,201.29,203.01,203.01,73570062
12-02-2025,202.39,213.24,199.48,210.41,210.41,50347581
13-02-2025,210.76,213.87,208.92,211.72,211.72,52876633
14-02-2025,210.26,212.6,206.79,208.44,208.44,46228839
17-02-2025,208.68,211.37,204.75,206.39,206.39,85323189
18-02-2025,205.88,208.04,202.48,204.3,204.3,67529930
19-02-2025,203.93,209.3,201.85,206.79,206.79,64845786
20-02-2025,207.89,211.01,205.49,208.99,208.99,69031547
21-02-2025,209.14,210.33,206.02,208.4,208.4,59424079
24-02-2025,208.43,208.65,205.82,206.86,206.86,70341422
25-02-2025,206.91,209.8,205.95,207.75,207.75,62745810
26-02-2025,207.43,219.37,205.66,216.85,216.85,57629803
27-02-2025,217.15,219.29,213.5,216.54,216.54,49642796
28-02-2025,217.7,218.13,215.5,217.49,217.49,42681816
03-03-2025,215.83,223.16,212.98,222.8,222.8,48292937
04-03-2025,224.54,226.96,222.92,224.59,224.59,54210996
05-03-2025,222.12,222.85,215.55,218.2,218.2,42745206
06-03-2025,218.46,223.65,217.41,221.4,221.4,48231056
07-03-2025,221.29,225.93,219.09,224.39,224.39,36693697
10-03-2025,224.34,227.37,220.46,221.4,221.4,57920073
11-03-2025,222.99,225.91,214.32,215.96,215.96,59112704
12-03-2025,216.58,220.59,214.46,218.05,218.05,60372502
13-03-2025,218.82,221.67,217.12,219.01,219.01,46883292
14-03-2025,218.97,227.44,216.96,227.01,227.01,37830698
17-03-2025,226.27,232.17,224.6,230.94,230.94,49572324
18-03-2025,229.11,231.57,216.99,219.86,219.86,64124975
19-03-2025,219.81,220.77,212.52,215.72,215.72,54956769
20-03-2025,217.34,219.26,210.59,210.83,210.83,65528347
21-03-2025,208.68,212.28,207.44,211.81,211.81,42980559
24-03-2025,213.72,216.32,209.93,210.73,210.73,62690114
25-03-2025,211.7,217.04,208.71,216.73,216.73,55715564
26-03-2025,217.49,219.88,211.42,214.03,214.03,59721824
27-03-2025,213.46,219.1,210.57,218.63,218.63,70808728
28-03-2025,220.9,222.75,217.14,219.61,219.61,46729746
31-03-2025,219.08,221.97,215.97,216.86,216.86,61274025
01-04-2025,216.83,218.73,212.1,214.48,214.48,80707244
02-04-2025,214.6,215.56,212.35,214.75,214.75,51911481
03-04-2025,215.17,217.63,206.24,207.69,207.69,62766351
04-04-2025,206.17,209.22,202.38,202.7,202.7,57693421
07-04-2025,204.41,208.66,201.7,207.05,207.05,49493388
08-04-2025,207.96,208.97,204.52,206.43,206.43,72718484
09-04-2025,205.79,214.57,202.96,212.24,212.24,59749642
10-04-2025,211.52,214.61,209.26,210.01,210.01,54693351
11-04-2025,210.58,216.59,208.85,215.04,215.04,50552628
14-04-2025,213.17,220.81,211.79,220.08,220.08,39463822
15-04-2025,219.57,228.59,217.96,225.3,225.3,59158046
16-04-2025,223.86,227.05,221.04,225.76,225.76,36321017
17-04-2025,227.46,228.22,223.19,223.94,223.94,65202660
18-04-2025,226.27,229.17,219.88,222.61,222.61,67363401
21-04-2025,222.33,224.86,221.93,223.79,223.79,52643801
22-04-2025,223.85,227.51,223.24,227.16,227.16,63791680
23-04-2025,227.25,227.61,226.21,226.9,226.9,31021591
24-04-2025,227.3,232.88,225.43,231.18,231.18,80060496
25-04-2025,232.46,233.35,228.24,230.65,230.65,42521128
28-04-2025,232.85,235.92,227.09,227.88,227.88,65440812
29-04-2025,228.06,232.09,225.85,230.26,230.26,59379532
30-04-2025,231.47,231.8,228.05,231.3,231.3,68266311
01-05-2025,232.04,238.45,229.69,236.91,236.91,41283941
02-05-2025,236.01,242.03,235.62,238.46,238.46,54230339
05-05-2025,238.84,242.29,236.13,240.14,240.14,60063049
06-05-2025,241.3,242.65,236.62,239.09,239.09,62168800
07-05-2025,238.74,245.58,238.1,242.56,242.56,71508481
08-05-2025,242.58,243.93,240.36,241.85,241.85,74134060
09-05-2025,240.65,241.69,236.39,237.87,237.87,29159318
12-05-2025,239.07,248.18,237.28,245.8,245.8,66781185
13-05-2025,242.73,244.66,241.33,244.33,244.33,82491310
14-05-2025,242.32,244.53,235.65,237.66,237.66,71611273
15-05-2025,238.37,243.92,238.07,240.46,240.46,65240986
16-05-2025,240.8,245.31,237.43,244.23,244.23,45952424
19-05-2025,242.16,244.19,240.88,242.98,242.98,53819924
20-05-2025,244.67,245.98,241.65,243.98,243.98,43124462
21-05-2025,242.78,249.57,240.22,248.69,248.69,52304402
22-05-2025,247.03,252.06,246.41,249.34,249.34,35884075
23-05-2025,249.31,254.75,247.14,251.66,251.66,61629879
26-05-2025,251.12,256.03,248.75,252.41,252.41,55586320
27-05-2025,251.53,255.16,249.83,252.74,252.74,47045188
28-05-2025,251.87,254.87,245.39,246.58,246.58,51460603
29-05-2025,245.75,255.32,243.95,252.86,252.86,58347929
30-05-2025,253.25,256.12,243.75,246.98,246.98,52776548
02-06-2025,247.03,249.38,244.33,246.46,246.46,53235975
03-06-2025,244.77,247.06,241.9,243.84,243.84,45355905
04-06-2025,245.88,254.65,242.23,251.95,251.95,48356941
05-06-2025,254,256.18,253.47,254.95,254.95,48019829
06-06-2025,254.12,254.62,247.83,249.9,249.9,40312716
09-06-2025,247.96,254.54,245.45,251.19,251.19,31075172
10-06-2025,252.74,256.98,250.14,253.2,253.2,40484307
11-06-2025,253.73,263.76,253.26,261.79,261.79,61699922
12-06-2025,262.5,263.5,260.09,262.32,262.32,43951916
13-06-2025,261.14,264.91,259.61,261.87,261.87,68095721
16-06-2025,260.44,269.14,256.8,265.19,265.19,51203098
17-06-2025,265.38,274.01,262.8,271.76,271.76,57304589
18-06-2025,271.94,275.19,267.26,270.21,270.21,53170361
19-06-2025,268.42,269.01,262.35,266.1,266.1,32965535
20-06-2025,264.63,271.47,262.46,268.94,268.94,29165312
23-06-2025,270.07,274.09,265.56,269.04,269.04,55981952
24-06-2025,270.28,273.83,265.34,268.64,268.64,51516705
25-06-2025,269.98,270.55,263.43,265.19,265.19,61438118
26-06-2025,265.23,267.87,257.29,260.56,260.56,54890572
27-06-2025,261.62,264.1,257.5,260.55,260.55,55124231
30-06-2025,259.17,260.76,253.35,253.85,253.85,51337303
01-07-2025,254.52,258.22,252.47,254.26,254.26,55773692
02-07-2025,253.07,255.59,243.36,244.35,244.35,53270949
03-07-2025,245.83,252.74,245.38,251.95,251.95,52438685
04-07-2025,252.14,263.42,251.04,259.59,259.59,50954968
07-07-2025,259.19,261.96,256.05,256.53,256.53,56926887
08-07-2025,257.09,258.45,254.18,256.67,256.67,69287755
09-07-2025,257.87,258.6,240.42,243.69,243.69,38597455
10-07-2025,242.27,245.77,239.54,242.72,242.72,33376234
11-07-2025,239.57,240.35,238.46,240.04,240.04,48445066
14-07-2025,238.27,242.33,237.22,242.04,242.04,57200319
15-07-2025,242.74,243.36,239.99,242.09,242.09,69358858
16-07-2025,242.06,242.81,240.1,241.44,241.44,43800784
17-07-2025,243.51,245.03,239.16,240.73,240.73,72654043
18-07-2025,239.92,242.47,238.13,239.84,239.84,67478856
21-07-2025,239.26,243.59,236,243.21,243.21,80887698
22-07-2025,244.12,246.54,238.08,240.39,240.39,58591510
23-07-2025,239.48,241.41,236.77,240.66,240.66,79160646
24-07-2025,240.22,241.92,239.94,241.44,241.44,57216163
25-07-2025,240.27,241.68,232.27,235.06,235.06,42437068
28-07-2025,236.45,238.82,236.14,237.7,237.7,63627439
29-07-2025,236.8,244.91,235.29,242.55,242.55,51127841
30-07-2025,244.16,246.61,239.42,241.45,241.45,61674760
31-07-2025,242.57,246.15,236.22,238.47,238.47,73341621
01-08-2025,239.11,241.68,237.74,241.01,241.01,67870088
04-08-2025,238.64,240.35,233.83,236.09,236.09,52344956
05-08-2025,236.46,237.64,231.99,234.9,234.9,64788846
06-08-2025,235.24,237.96,232.49,234.24,234.24,60891699
07-08-2025,235.01,238.62,232.98,237.8,237.8,69081686
08-08-2025,237.02,242.8,236.08,239.82,239.82,69859396
11-08-2025,240.19,242.41,238.09,240.04,240.04,75426579
12-08-2025,237.92,245.46,234.78,242.87,242.87,70477033
13-08-2025,242.7,246.54,241.62,246.26,246.26,40308421
14-08-2025,245.22,248.35,244.27,245.36,245.36,75038854
15-08-2025,243.89,248.9,240.97,247.42,247.42,60335232
18-08-2025,247.44,250.32,246.51,246.88,246.88,45581220
19-08-2025,246.73,251.6,245.97,250.2,250.2,60034389
20-08-2025,249.74,257.74,248.2,253.94,253.94,75723566
21-08-2025,254.23,255.87,250.33,252.04,252.04,66191089
22-08-2025,253.63,256.7,243.91,244.47,244.47,48377702
25-08-2025,243.79,259.45,241.62,257.11,257.11,57214615
26-08-2025,258.66,270.64,255.48,267.83,267.83,64340332
27-08-2025,266.74,267.22,263.51,265.02,265.02,54959506
28-08-2025,266.28,272.08,264.09,268.84,268.84,41299730
29-08-2025,267.88,268.53,266.78,267.93,267.93,32601560
01-09-2025,268.78,280.31,265,276.18,276.18,42709758
02-09-2025,277.86,287.32,275.99,286.56,286.56,61985172
03-09-2025,288.12,290.71,281.94,284.57,284.57,49133806
04-09-2025,284.77,286.24,274.39,278.34,278.34,33778727
05-09-2025,276.12,279.77,272.35,275.88,275.88,61163201
08-09-2025,274.27,275.05,272.5,273.08,273.08,20532853
09-09-2025,275.5,277.46,270,273.07,273.07,47773455
10-09-2025,271.7,278.94,268.93,275.76,275.76,58621502
11-09-2025,275.48,276.77,274.12,275.35,275.35,52282253
12-09-2025,276.61,279.53,273.32,277.51,277.51,45361852
15-09-2025,276.47,277.94,275.95,277.53,277.53,25909116
16-09-2025,278.55,282.94,275.68,282.57,282.57,51624069
17-09-2025,283.3,287.3,282.6,283.09,283.09,36249449
18-09-2025,284.22,285.29,277.74,280.24,280.24,39948526
19-09-2025,280.19,285.69,278.54,282.99,282.99,46184901
22-09-2025,283.28,285.64,277.82,278.55,278.55,68783648
23-09-2025,279.52,281.63,276.47,281.08,281.08,45068917
24-09-2025,279.57,282.64,275.59,281.7,281.7,19943794
25-09-2025,282.98,286.43,281.06,284.3,284.3,62429851
26-09-2025,284.33,299.78,282.22,296.15,296.15,46263964
29-09-2025,294.96,295.94,290.82,292.47,292.47,56472043
30-09-2025,292.94,306.14,289.08,302.12,302.12,51971757
01-10-2025,299.76,304.95,296.22,300.5,300.5,65597317
02-10-2025,300.23,300.98,297.13,300.19,300.19,93317290
03-10-2025,301.91,305.49,293.46,297.78,297.78,56359244
06-10-2025,299.15,301.86,286.5,289.36,289.36,46982270
07-10-2025,291.21,295.24,284.49,286.92,286.92,60816793
08-10-2025,285.99,289.71,278.34,282.2,282.2,67359529
09-10-2025,281.63,282.64,276.66,280.46,280.46,43538529
10-10-2025,283.35,283.96,279.19,282.97,282.97,42189605
13-10-2025,284.97,289.11,281.31,283.25,283.25,42251277
14-10-2025,282.98,286.75,282.65,285.82,285.82,66828759
15-10-2025,289.52,295.99,285.62,292.75,292.75,57332611
16-10-2025,293.24,296.9,288.33,290.83,290.83,51455183
17-10-2025,292.48,294.71,281.55,285.12,285.12,29537741
20-10-2025,286.97,288.6,280.83,281.79,281.79,54725583
21-10-2025,282.56,287.36,281.33,286.67,286.67,50298902
22-10-2025,288.99,291.91,278.8,281.53,281.53,51132154
23-10-2025,280.92,289.47,276.79,287.29,287.29,44155577
24-10-2025,285.6,292.37,285.03,289.3,289.3,69252152
27-10-2025,288.92,292.3,285.25,291.08,291.08,65455567
28-10-2025,291.26,292.8,282.26,283.39,283.39,78267147
29-10-2025,283.64,290.22,280.32,286.44,286.44,62616657
30-10-2025,287.03,295.99,284.49,292.95,292.95,52104908
31-10-2025,291.52,294.49,287.7,292.31,292.31,28927965
03-11-2025,291.53,300.79,287.49,297.41,297.41,53913600
04-11-2025,296.77,303.32,292.69,301.78,301.78,63865725
05-11-2025,300.37,309.5,298.89,305.65,305.65,68031785
06-11-2025,308.46,309.18,306.7,308.05,308.05,54766964
07-11-2025,309.28,310.88,304.74,306.33,306.33,35604272
10-11-2025,308.95,316.52,307.84,312.31,312.31,53746609
11-11-2025,312.42,313.01,307.47,311.41,311.41,68942539
12-11-2025,311.78,312.5,301.59,305.79,305.79,66702371
13-11-2025,306.08,311.55,303.93,309.01,309.01,67012553
14-11-2025,306.18,309.8,302.24,305.12,305.12,53350617
17-11-2025,307.58,313.98,304.25,311.09,311.09,70778973
18-11-2025,308.6,312.48,306.63,311.71,311.71,81051312
19-11-2025,311.9,315.46,308.26,310.77,310.77,61617824
20-11-2025,311.07,312.49,305.19,307.06,307.06,47658770
21-11-2025,306.4,311.47,304.67,306.98,306.98,46690948
24-11-2025,306.86,309.79,297.03,298.5,298.5,55989277
25-11-2025,298.04,301.69,287.34,289.95,289.95,45974123
26-11-2025,290.12,294.19,277.39,279.22,279.22,57558359
27-11-2025,278.77,281.03,271.52,275.16,275.16,45447689
28-11-2025,275.08,290.02,274.3,285.76,285.76,46499118
01-12-2025,283.18,287.07,274.2,277.25,277.25,35990368
02-12-2025,278.49,281.98,264.76,268.62,268.62,49203267
03-12-2025,270.79,271.49,267.83,269.55,269.55,65762071
04-12-2025,268.58,269.3,256.31,258.08,258.08,53424916
05-12-2025,257.79,262.27,255.12,258.61,258.61,47199969
08-12-2025,260.43,262.86,252.81,253.1,253.1,63498573
09-12-2025,254.3,257.24,253.62,254.4,254.4,58445489
10-12-2025,254.54,254.84,246.99,248.71,248.71,53457549
11-12-2025,248.03,248.7,237.36,239.47,239.47,56114138
12-12-2025,238.44,248.15,235.38,245.66,245.66,47245272
15-12-2025,244.19,255.85,241.25,254.5,254.5,66029850
16-12-2025,254.18,264.99,250.88,261.72,261.72,53388295
17-12-2025,262.75,267.74,260.28,266.09,266.09,34017616
18-12-2025,267.59,273.42,266.7,271.72,271.72,41731543
19-12-2025,271.3,272.16,270.32,270.69,270.69,64355926
22-12-2025,272.58,279.52,272.03,277.92,277.92,34798741
23-12-2025,279.26,280.96,272.47,273.58,273.58,74386993
24-12-2025,273.96,276.87,272.76,273.57,273.57,49313927
25-12-2025,274.32,276.07,273.2,273.63,273.63,55077067
26-12-2025,273.12,274.16,272.76,273.28,273.28,51894447
29-12-2025,274.05,282.89,270.1,282.15,282.15,51454236
30-12-2025,281.68,288.93,278.14,286.23,286.23,53712374
31-12-2025,283.98,291.41,283.08,288.93,288.93,41478790
01-01-2026,292.16,302.58,288.46,299.09,299.09,33387307
02-01-2026,297.91,298.45,294.28,295.99,295.99,47549828
05-01-2026,297.1,299.81,283.59,284.42,284.42,79888992
06-01-2026,280.83,285.01,275.61,279.34,279.34,51567949
07-01-2026,282.07,288.39,280.99,285.63,285.63,49416274
08-01-2026,289.4,290.62,281.03,285.16,285.16,36964356
09-01-2026,285.83,289.18,282.06,286.75,286.75,58696606
12-01-2026,287.14,288.54,280.87,284.65,284.65,50881692
13-01-2026,284.61,289.17,280.88,286.94,286.94,33723610
14-01-2026,285.64,297.76,283.81,294.33,294.33,47154803
15-01-2026,298.94,301.66,278.2,281.9,281.9,54341271
16-01-2026,282.64,286.21,278.57,283.65,283.65,62742587
19-01-2026,283.44,287.11,280.65,282.67,282.67,62122680
20-01-2026,283.6,283.96,264.15,266.19,266.19,57336834
21-01-2026,267.45,275.22,266.68,272.31,272.31,43340119
22-01-2026,271.46,272.53,261.12,264.93,264.93,65348721
23-01-2026,265.61,271.5,265.29,270.12,270.12,63701149
26-01-2026,269.25,276.19,266.08,273.04,273.04,60183070
27-01-2026,274.01,283.26,271.38,279.67,279.67,54681744
28-01-2026,279.44,281.31,274.35,274.88,274.88,46061168
29-01-2026,274.45,277.83,266.79,270.66,270.66,32276623
30-01-2026,270.66,275.24,267.71,271.95,271.95,45194936
02-02-2026,270.91,272.06,262.04,263.34,263.34,64953698
03-02-2026,262.99,264.09,259.83,262.45,262.45,30953651
04-02-2026,262.81,264.48,260.17,262.9,262.9,18765854
05-02-2026,265.26,265.79,261.21,263.99,263.99,69867356
06-02-2026,262.71,271.75,259.49,268.39,268.39,67722518
09-02-2026,268.91,284.69,266.77,283.33,283.33,48892436
10-02-2026,282.75,285.53,279.05,279.54,279.54,45130960
11-02-2026,279.54,286.42,278.18,285.95,285.95,54888396
12-02-2026,286.17,289.82,283.91,284.21,284.21,64901179
13-02-2026,283.28,284.99,278.09,279.43,279.43,51355287
